id,Title,Short Description,Post Type,Regular Price,Sale Price,Stock,Image Featured,Product categories,Categories Brand,ISBN,Publication,Language
4251,SOB LOGICER BAIRE,,product,200,,5,http://md.stagingclientserver.com/wp/wp-content/uploads/2017/07/d6-1.jpg,Children,Adrish Bardhan,978-81-8374-037-1,Patra Bharati,Bengali
4252,Makarsha Atanka,,product,70,,5,http://md.stagingclientserver.com/wp/wp-content/uploads/2017/07/d6-1.jpg,Children,Adrish Bardhan,978-81-8374-289-4,Patra Bharati,Bengali
4253,Superman Bikramjit,,product,70,,5,http://md.stagingclientserver.com/wp/wp-content/uploads/2017/07/d6-1.jpg,Children,Adrish Bardhan,978-81-8374-225-5,Patra Bharati,Bengali
4254,Asajhya Suspense 2,,product,150,,5,http://md.stagingclientserver.com/wp/wp-content/uploads/2017/07/d6-1.jpg,Children,Adrish Bardhan,978-1-8374-294-8,Patra Bharati,Bengali
4255,Sera Kalpabijyan Omnibas,,product,160,,5,http://md.stagingclientserver.com/wp/wp-content/uploads/2017/07/d6-1.jpg,Children,Adrish Bardhan,978-81-8374-282-5,Patra Bharati,Bengali
4256,Asajhya Suspense 3,,product,170,,5,http://md.stagingclientserver.com/wp/wp-content/uploads/2017/07/d6-1.jpg,Children,Adrish Bardhan,978-81-8374-224-5,Patra Bharati,Bengali
4257,Bish Rohosyo,,product,200,,5,http://md.stagingclientserver.com/wp/wp-content/uploads/2017/07/d6-1.jpg,Adult Fiction,Adrish Bardhan,to be generated,Patra Bharati,Bengali
4258,Panchti Rahasya Upanyas,,product,200,,5,http://md.stagingclientserver.com/wp/wp-content/uploads/2017/07/d6-1.jpg,Adult Fiction,Adrish Bardhan,978-81-8374-394-5,Patra Bharati,Bengali
4259,Asajhya Suspense 1,,product,200,,5,http://md.stagingclientserver.com/wp/wp-content/uploads/2017/07/d6-1.jpg,Children,Anish Deb,978-81-8374-205-4,Patra Bharati,Bengali
4260,SERA GOENDA UPANYAS,,product,400,,5,http://md.stagingclientserver.com/wp/wp-content/uploads/2017/07/d6-1.jpg,Adult Fiction,Anish Deb,81-8374-030-8,Patra Bharati,Bengali
4261,Romanchakar Dhumketu,,product,50,,5,http://md.stagingclientserver.com/wp/wp-content/uploads/2017/07/d6-1.jpg,Children,Anish Deb,978-81-8374-204-7,Patra Bharati,Bengali
4262,Sahaj Kathay Internet,,product,50,,5,http://md.stagingclientserver.com/wp/wp-content/uploads/2017/07/d6-1.jpg,Children,Anish Deb,978-81-8374-297-9,Patra Bharati,Bengali
4263,Sahaj Kathay Robot,,product,50,,5,http://md.stagingclientserver.com/wp/wp-content/uploads/2017/07/d6-1.jpg,Children,Anish Deb,978-81-8374-124-8,Patra Bharati,Bengali
4264,Kemon Kore Kaj Kare Jantra,,product,60,,5,http://md.stagingclientserver.com/wp/wp-content/uploads/2017/07/d6-1.jpg,Children,Anish Deb,978-81-8374-057-9,Patra Bharati,Bengali
4265,Pi Niye Rupkatha,,product,100,,5,http://md.stagingclientserver.com/wp/wp-content/uploads/2017/07/d6-1.jpg,Children,Anish Deb,978-81-8374-175-0,Patra Bharati,Bengali
4266,Bijnaner Harekrakam,,product,100,,5,http://md.stagingclientserver.com/wp/wp-content/uploads/2017/07/d6-1.jpg,Children,Anish Deb,978-81-8374-266-5,Patra Bharati,Bengali
4267,"Dekha Jay Na, Shona Jay",,product,120,,5,http://md.stagingclientserver.com/wp/wp-content/uploads/2017/07/d6-1.jpg,Children,Anish Deb,81-8374-067-7,Patra Bharati,Bengali
4268,Bhoutik Aloukik,,product,150,,5,http://md.stagingclientserver.com/wp/wp-content/uploads/2017/07/d6-1.jpg,Children,Anish Deb,81-8374-008-1,Patra Bharati,Bengali
4269,Bhaypatal,,product,200,,5,http://md.stagingclientserver.com/wp/wp-content/uploads/2017/07/d6-1.jpg,Children,Anish Deb,978-81-8374-192-7,Patra Bharati,Bengali
4270,Bishwer Sera Bhayankar Bhuter Galpa,,product,200,,5,http://md.stagingclientserver.com/wp/wp-content/uploads/2017/07/d6-1.jpg,Children,Anish Deb,978-81-8374-068-5,Patra Bharati,Bengali
4271,Kishore Kalpabijnan Samagra,,product,200,,5,http://md.stagingclientserver.com/wp/wp-content/uploads/2017/07/d6-1.jpg,Children,Anish Deb,978-81-8374-235-1,Patra Bharati,Bengali
4272,Teish Ghonta Shaat Minute,,product,200,,5,http://md.stagingclientserver.com/wp/wp-content/uploads/2017/07/d6-1.jpg,Children,Anish Deb,978-81-8374-439-3,Patra Bharati,Bengali
4273,Panchti Rahasya Upanyas,,product,225,,5,http://md.stagingclientserver.com/wp/wp-content/uploads/2017/07/d6-1.jpg,Adult Fiction,Anish Deb,978-81-8374-079-1,Patra Bharati,Bengali
4274,Bhutnather Diary,,product,250,,5,http://md.stagingclientserver.com/wp/wp-content/uploads/2017/07/d6-1.jpg,Adult Fiction,Anish Deb,978-81-8374-265-8,Patra Bharati,Bengali
4275,Sera Science Fiction Samagro,,product,280,,5,http://md.stagingclientserver.com/wp/wp-content/uploads/2017/07/d6-1.jpg,Adult Fiction,Anish Deb,978-81-8374-329-7,Patra Bharati,Bengali
4276,Shaat Minit Teish Ghonta,,product,280,,5,http://md.stagingclientserver.com/wp/wp-content/uploads/2017/07/d6-1.jpg,Children,Anish Deb,978-81-8374-422-5,Patra Bharati,Bengali
4277,ASARIRI BHAYONKAR,,product,280,,5,http://md.stagingclientserver.com/wp/wp-content/uploads/2017/07/d6-1.jpg,Children,Anish Deb,978-81-8374-422-5,Patra Bharati,Bengali
4278,LASHTALASH,,product,300,,5,http://md.stagingclientserver.com/wp/wp-content/uploads/2017/07/d6-1.jpg,Adult Fiction,Anish Deb,978-81-8374-139-2,Patra Bharati,Bengali
4279,LASHTALASH,,product,300,,,http://md.stagingclientserver.com/wp/wp-content/uploads/2017/07/d6-1.jpg,Adult Fiction,,978-81-8374-422-5,,
